#SUBENT      L0021003
#AUTHORS     A.Veyssiere, H.Beil, R.Bergere, P.Carlos, 
#+           A.Lepretre
#REFERENCE   Nuclear Physics, Section A Vol.159, p.561
#YEAR        1970
#TITLE       Photoneutron cross sections of 208Pb and 197Au.
#REACTION    (79-AU-197(G,N)79-AU-196,,SIG)+(79-AU-197(G,N+P)78-PT-195,,SIG)
#QUANTITY    Cross section
#SUBP       L0021003 
# Energy (eV) Cross section (b)
1.82e+08 2.23603e-33
1.8272e+08 1.6266e-33
1.8344e+08 1.18326e-33
1.8416e+08 8.60764e-34
1.8488e+08 6.26162e-34
1.856e+08 4.55501e-34
1.8632e+08 3.31353e-34
1.8704e+08 2.41042e-34
1.8776e+08 1.75346e-34
1.8848e+08 1.27555e-34
1.892e+08 9.27898e-35
1.8992e+08 6.74998e-35
1.9064e+08 4.91027e-35
1.9136e+08 3.57197e-35
1.9208e+08 2.59842e-35
1.928e+08 1.89022e-35
1.9352e+08 1.37504e-35
1.9424e+08 1.00027e-35
1.9496e+08 7.27644e-36
1.9568e+08 5.29324e-36
1.964e+08 3.85056e-36
1.9712e+08 2.80108e-36
1.9784e+08 2.03764e-36
1.9856e+08 1.48228e-36
1.9928e+08 1.07828e-36
2e+08 7.84396e-37
